"year","sex","road_user","Sum(hospitalisations)","Sum(cases)","Sum(bed_days)","Sum(died_cases)"
2018,"intersex or indeterminate or missing","Pedal cyclist",2,2,2,0
2019,"Female","Bus occupant",145,145,512,0
2019,"Female","Car driver",6720,6730,25286,10
2019,"Female","Car passenger",2955,2975,13808,20
2019,"Female","Car unknown position",383,384,2836,1
2019,"Female","Heavy transport driver",18,18,51,0
2019,"Female","Heavy transport passenger",11,11,86,0
2019,"Female","Heavy transport unknown position",7,7,9,0
2019,"Female","Motorcyclist",935,937,5326,2
2019,"Female","Other or unknown",234,234,2000,0
2019,"Female","Pedal cyclist",1455,1457,4125,2
2019,"Female","Pedestrian",1133,1148,11781,15
2019,"Female","Pick-up truck or van occupant",46,46,175,0
2019,"Male","Bus occupant",91,91,321,0
2019,"Male","Car driver",6497,6548,35273,51
2019,"Male","Car passenger",1780,1795,9642,15
2019,"Male","Car unknown position",395,395,3285,0
2019,"Male","Heavy transport driver",401,403,2635,2
2019,"Male","Heavy transport passenger",38,38,159,0
2019,"Male","Heavy transport unknown position",40,40,548,0
2019,"Male","Motorcyclist",7741,7767,47662,26
2019,"Male","Other or unknown",378,379,2646,1
2019,"Male","Pedal cyclist",5629,5633,18303,4
2019,"Male","Pedestrian",1465,1498,15806,33
2019,"Male","Pick-up truck or van occupant",201,203,1150,2
2019,"intersex or indeterminate or missing","Car driver",1,1,1,0
2020,"Female","Bus occupant",100,100,566,0
2020,"Female","Car driver",5566,5574,21578,8
2020,"Female","Car passenger",2497,2502,12381,5
2020,"Female","Car unknown position",361,362,2629,1
2020,"Female","Heavy transport driver",10,10,295,0
2020,"Female","Heavy transport passenger",15,15,60,0
2020,"Female","Heavy transport unknown position",6,6,7,0
2020,"Female","Motorcyclist",899,902,5171,3
2020,"Female","Other or unknown",218,219,1345,1
2020,"Female","Pedal cyclist",1880,1881,5054,1
2020,"Female","Pedestrian",876,880,9260,4
2020,"Female","Pick-up truck or van occupant",59,59,156,0
2020,"Male","Bus occupant",72,72,276,0
2020,"Male","Car driver",6446,6464,32975,18
2020,"Male","Car passenger",1709,1714,10669,5
2020,"Male","Car unknown position",356,357,2925,1
2020,"Male","Heavy transport driver",399,399,2152,0
2020,"Male","Heavy transport passenger",32,32,335,0
2020,"Male","Heavy transport unknown position",33,33,208,0
2020,"Male","Motorcyclist",7611,7622,42018,11
2020,"Male","Other or unknown",359,359,2311,0
2020,"Male","Pedal cyclist",6253,6262,19016,9
2020,"Male","Pedestrian",1149,1167,11792,18
2020,"Male","Pick-up truck or van occupant",239,239,1363,0
